id,name,popularity,album_name,release_date,duration_ms,explicit,artist_name,duration_min
0M3HkE321xpCbCYqVKzr1q,it will rain,83,it will rain,2011-09-28,257720,False,bruno mars,4.3
1ZPVEo8RfmrEz8YAD5n6rW,lantas,80,sentimental,2020-06-11,234204,False,juicy luicy,3.9
1csKczcJqOSdK8JriLMpDW,tampar,77,nonfiksi,2024-06-28,202824,False,juicy luicy,3.38
6cChz3Pak7UtjuVJJRZmCm,sialan,75,harap-harap emas,2024-09-27,241088,False,adrian khalif,4.02
6Npkwd5gv61SR6QZbTyNf9,lampu kuning,77,nonfiksi,2024-06-28,239416,False,juicy luicy,3.99
4xmSDYn5n9Gu6mH6FSJDhf,tak di tanganku,75,tak di tanganku,2023-03-16,232383,False,juicy luicy,3.87
3Jby9Ezr1E7wCsXe0Dexa6,tanpa tergesa,73,sentimental,2020-06-11,218405,False,juicy luicy,3.64
7t8R5hCOyOKOhEKnbziUgg,asing,70,nonfiksi,2024-06-28,193036,False,juicy luicy,3.22
0uTJacQiXYN5EZqBCoSCOz,bukan orangnya,71,nonfiksi,2024-06-28,190602,False,juicy luicy,3.18
4GHzE0rDsSkbj6V6UXZTLc,terlalu tinggi,70,sentimental,2020-06-11,278667,False,juicy luicy,4.64
7st3cap09aLwD2xKVZq9mz,hahaha,68,nonfiksi,2024-06-28,193959,False,juicy luicy,3.23
630DpnzdfjdVqv2yLfPbAX,bertaut,81,selamat ulang tahun,2020-05-28,315960,False,nadin amizah,5.27
3ymuBMTviroWLuf1jMsMVf,sorai,77,sorai,2019-01-01,278333,False,nadin amizah,4.64
4rcuS31IcZynp91dqvmhmA,semua aku dirayakan,74,"untuk dunia, cinta, dan kotornya",2023-10-13,310625,False,nadin amizah,5.18
6Dh1zHQjEaOp29VW9pp3xG,taruh,75,selamat ulang tahun,2020-05-28,249892,False,nadin amizah,4.16
0zAtj0BEvpulETGrk95NPQ,rayuan perempuan gila,73,"untuk dunia, cinta, dan kotornya",2023-10-13,320000,False,nadin amizah,5.33
3FPlY1uqTe1oFfIgI0BnoA,beranjak dewasa,74,selamat ulang tahun,2020-05-28,297617,False,nadin amizah,4.96
1q1dsfckKMgjfr8DfdeKfs,amin paling serius,72,berhati,2020-02-20,303800,False,sal priadi,5.06
1tqPw8Hf88h24Bpt2SzuYE,di akhir perang,71,"untuk dunia, cinta, dan kotornya",2023-10-13,238214,False,nadin amizah,3.97
04IXeEjiQ4kdS7JJF9pjxT,kekal,68,"untuk dunia, cinta, dan kotornya",2023-10-13,280428,False,nadin amizah,4.67
75OokMC3JzPnRNXcLTAKdr,mendarah,68,selamat ulang tahun,2020-05-28,242363,False,nadin amizah,4.04
0FIDCNYYjNvPVimz5icugS,timeless (feat playboi carti),93,hurry up tomorrow,2025-01-31,256000,True,the weeknd,4.27
7CyPwkp0oE8Ro9Dd5CUDjW,"one of the girls (with jennie, lily rose depp)",92,the idol episode 4 (music from the hbo original series),2023-06-23,244684,False,the weeknd,4.08
68qeaZhtMZ6abrJCYt6nQn,rather lie (with the weeknd),91,music,2025-03-14,209680,True,playboi carti,3.49
7MXVkk9YMctZqd1Srtv4MB,starboy,90,starboy,2016-11-25,230453,True,the weeknd,3.84
3AWDeHLc88XogCaCnZQLVI,cry for me,90,hurry up tomorrow,2025-01-31,224136,True,the weeknd,3.74
7DY756WOLyOz2Xnhw4EFiC,são paulo (feat. anitta),87,hurry up tomorrow,2025-01-31,301623,True,the weeknd,5.03
0VjIjW4GlUZAMYd2vXMi3b,blinding lights,89,after hours,2020-03-20,200040,False,the weeknd,3.33
2LBqCSwhJGcFQeTHMVGwy3,die for you,86,starboy,2016-11-24,260253,False,the weeknd,4.34
7fBv7CLKzipRk6EC6TWHOB,the hills,87,beauty behind the madness,2015-08-28,242253,True,the weeknd,4.04
5QO79kh1waicV47BqGRL3g,save your tears,86,after hours,2020-03-20,215626,True,the weeknd,3.59
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),88,eternal sunshine,2024-08-03,228639,False,ariana grande,3.81
7xoUc6faLbCqZO6fQEYprd,one last time,85,my everything (deluxe),2014-08-22,197266,False,ariana grande,3.29
76FZM38RC8XaAjJ77CVTNe,into you,82,dangerous woman,2016-01-04,244453,False,ariana grande,4.07
1oFAF1hdPOickyHgbuRjyX,save your tears (remix) (with ariana grande) - bonus track,81,after hours (deluxe),2020-03-20,191013,False,the weeknd,3.18
0Lmbke3KNVFXtoH2mMSHCw,the boy is mine,83,eternal sunshine,2024-08-03,173639,True,ariana grande,2.89
6ocbgoVGwYJhOv1GgI9NsF,7 rings,84,"thank u, next",2019-08-02,178626,True,ariana grande,2.98
3nef5W8jTkXrOKgCu4kmq7,dangerous woman,81,dangerous woman,2016-01-04,235946,False,ariana grande,3.93
2o1pb13quMReXZqE7jWsgq,intro (end of the world),82,eternal sunshine,2024-08-03,92400,True,ariana grande,1.54
5D34wRmbFS29AjtTOP2QJe,"yes, and?",78,eternal sunshine,2024-08-03,214994,True,ariana grande,3.58
4W4fNrZYkobj539TOWsLO2,die for you (with ariana grande) - remix,78,starboy (deluxe),2023-03-14,232857,False,the weeknd,3.88
6dOtVTDdiauQNBQEDOtlAB,birds of a feather,98,hit me hard and soft,2024-05-17,210373,False,billie eilish,3.51
3QaPy1KgI7nu9FJEQUgn6h,wildflower,95,hit me hard and soft,2024-05-17,261466,False,billie eilish,4.36
7BRD7x5pt8Lqa1eGYC4dzj,chihiro,90,hit me hard and soft,2024-05-17,303440,False,billie eilish,5.06
0IsIY8pfu1yaGkPUD7pkDx,guess featuring billie eilish,86,brat and it’s completely different but also still brat,2024-11-10,143330,False,charli xcx,2.39
0u2P5u6lvoDfwTYjAADbn4,lovely (with khalid),88,lovely (with khalid),2018-04-19,200185,False,billie eilish,3.34
6wf7Yu7cxBSPrRlWeSeK0Q,"what was i made for? [from the motion picture ""barbie""]",87,"what was i made for? [from the motion picture ""barbie""]",2023-07-13,222369,False,billie eilish,3.71
7hDVYcQq6MxkdJGweuCtl9,ocean eyes,85,dont smile at me,2017-12-22,200379,False,billie eilish,3.34
629DixmZGHc7ILtEntuiWE,lunch,87,hit me hard and soft,2024-05-17,179586,False,billie eilish,2.99
43zdsphuZLzwA9k4DJhU0I,when the party's over,86,"when we all fall asleep, where do we go?",2019-03-29,196077,False,billie eilish,3.27
3GYlZ7tbxLOxe6ewMNVTkw,tv,86,guitar songs,2022-07-21,281380,False,billie eilish,4.69
4GfK1qOF3uBWidbPlTCQRL,monokrom,79,monokrom,2016-03-08,214567,False,tulus,3.58
2hHeGD57S0BcopfVcmehdl,hati-hati di jalan,77,manusia,2022-03-03,242000,False,tulus,4.03
32Pdf9eyXDEMoClEJW6yYP,interaksi,76,manusia,2022-03-03,170000,False,tulus,2.83
2qgjqbi96IAOBzZFC6H57U,diri,72,manusia,2022-03-03,240000,False,tulus,4.0
2FaquTc3FYvNm7RuO1gD6O,langit abu-abu,71,monokrom,2016-03-08,202950,False,tulus,3.38
3B4VP6swG49n3scg2aMfA6,pamit,69,monokrom,2016-03-08,232516,False,tulus,3.88
2x9UGhofPBZdeam4uZCUID,1000 tahun lamanya,69,pongki barata meets the stars,2014-09-20,232226,False,tulus,3.87
0pDmW5AOpl1Wi58Ob0xXB8,labirin,68,labirin,2018-08-24,182656,False,tulus,3.04
6PqWdGIYq5xdLaa4zCZfRp,jatuh suka,67,manusia,2022-03-03,235000,False,tulus,3.92
1vT1rKlEzvT9r0uYwAuwC8,manusia kuat,67,monokrom,2016-03-08,184600,False,tulus,3.08
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),94,gnx,2024-11-21,177598,False,kendrick lamar,2.96
3GCdLUSnKSMJhs4Tj6CV3s,all the stars (with sza),95,black panther the album music from and inspired by,2018-09-02,232186,True,kendrick lamar,3.87
3aSWXU6owkZeVhh94XxEWO,30 for 30 (with kendrick lamar),89,sos deluxe: lana,2024-12-20,278276,True,sza,4.64
4iZ4pt7kvcaH6Yo8UoZ4s2,snooze,89,sos,2022-09-12,201800,True,sza,3.36
3U3hFkMr0Q90pD24EkE3Pr,bmf,89,sos deluxe: lana,2024-12-20,180746,True,sza,3.01
1Qrg8KqiBpW07V7PNxwwwL,kill bill,87,sos,2022-08-12,153946,False,sza,2.57
040I32EKLxQrkuxQu1pqvT,saturn,83,sos deluxe: lana,2024-12-20,186191,False,sza,3.1
5Y35SjAfXjjG0sFQ3KOxmm,nobody gets me,87,sos,2022-09-12,180853,True,sza,3.01
4PMqSO5qyjpvzhlLI5GnID,good days,84,sos,2022-09-12,278480,True,sza,4.64
6koKhrBBcExADvWuOgceNZ,open arms (feat. travis scott),84,sos,2022-08-12,239613,False,sza,3.99
